word,galls
학치커,"[20210818_w_entertainer(209.87),20210818_producex(9.69),20210818_mistertrot(3.23)]"
둑,"[20210818_w_entertainer(207.93),20210818_fantasy_new(5.07),20210818_baseball_new10(5.07),20210818_monsterhunter(2.54),20210818_maplestory(2.54),20210818_stream(2.54),20210818_football_new7(2.54)]"
봊돌,"[20210818_w_entertainer(203.96),20210818_baseball_new10(3.52)]"
창기,"[20210818_lgtwins_new(934.88),20210818_ktwiz(45.10),20210818_tigers_new(20.50),20210818_doosanbears_new1(14.35),20210818_giants_new2(14.35),20210818_skwyverns(10.25),20210818_baseball_ab2(8.20),20210818_hanwhaeagles_new(6.15),20210818_ncdinos(2.05),20210818_lotto_new2(2.05)]"
우석,"[20210818_lgtwins_new(783.81),20210818_tigers_new(43.86),20210818_ktwiz(26.70),20210818_giants_new2(26.70),20210818_baseball_ab2(24.79),20210818_doosanbears_new1(11.44),20210818_ncdinos(9.54),20210818_lotto_new2(9.54),20210818_sh_new(9.54),20210818_samsunglions_new(7.63)]"
보어,"[20210818_lgtwins_new(368.09),20210818_ktwiz(35.52),20210818_baseball_ab2(3.23)]"
퍼스트,"[20210818_leagueoflegends4(1773.71),20210818_fantasy_new(27.75),20210818_nba(11.56),20210818_d_fighter_new2(6.94),20210818_gf(6.94),20210818_comic_new2(4.63),20210818_football_new7(2.31),20210818_idolmaster(2.31),20210818_tigers_new(2.31)]"
김용,[20210818_lgtwins_new(235.32)]
마무리,"[20210818_lgtwins_new(230.65),20210818_hanwhaeagles_new(54.63),20210818_giants_new2(14.57),20210818_baseball_ab2(12.14),20210818_tigers_new(12.14),20210818_samsunglions_new(7.28),20210818_ncdinos(4.86),20210818_sh_new(4.86),20210818_doosanbears_new1(3.64),20210818_skwyverns(3.64)]"
뿡2,"[20210818_w_entertainer(881.47),20210818_m_entertainer1(9.69),20210818_producex(3.23)]"
이닝,"[20210818_lgtwins_new(226.94),20210818_samsunglions_new(135.40),20210818_giants_new2(70.56),20210818_baseball_ab2(53.40),20210818_tigers_new(40.05),20210818_ktwiz(38.14),20210818_hanwhaeagles_new(38.14),20210818_sh_new(20.98),20210818_skwyverns(13.35),20210818_doosanbears_new1(13.35)]"
쥐,"[20210818_lgtwins_new(202.38),20210818_stream(108.45),20210818_ktwiz(103.32),20210818_samsunglions_new(30.74),20210818_giants_new2(25.62),20210818_baseball_ab2(24.76),20210818_closers(24.76),20210818_bitcoins(23.06),20210818_doosanbears_new1(19.64),20210818_sh_new(17.93)]"
고로,"[20210818_lgtwins_new(200.07),20210818_closers(8.62),20210818_maplestory(5.17),20210818_fight_game(3.45),20210818_monsterhunter(3.45),20210818_stream(3.45),20210818_tr(3.45),20210818_lostark(1.72),20210818_fantasy_new(1.72),20210818_d_fighter_new2(1.72)]"
