rank, score, word, galls
45,715.0,스틴,"[20210818_w_entertainer(681.0),20210818_producex(13.0),20210818_m_entertainer1(8.0),20210818_akb48(5.0),20210818_top12(5.0),20210818_comic_new2(3.0)]"
46,714.0,김봉준,"[20210818_ib_new2(710.0),20210818_top12(4.0)]"
47,701.0,방종,"[20210818_ib_new2(655.0),20210818_stream(42.0),20210818_baseball_new10(3.0)]"
48,686.0,팀,"[20210818_leagueoflegends4(165.0),20210818_samsunglions_new(61.0),20210818_football_new7(49.0),20210818_lgtwins_new(48.0),20210818_giants_new2(43.0),20210818_baseball_ab2(35.0),20210818_hanwhaeagles_new(34.0),20210818_tigers_new(32.0),20210818_fifaonline(29.0),20210818_sh_new(20.0),20210818_doosanbears_new1(15.0),20210818_ktwiz(16.0),20210818_nba(13.0),20210818_skwyverns(10.0),20210818_lotto_new2(8.0),20210818_ncdinos(8.0),20210818_top12(7.0),20210818_hiphop(7.0),20210818_grsgills(6.0),20210818_ib_new2(5.0),20210818_lostark(4.0),20210818_arbeit(4.0),20210818_drama_new3(4.0),20210818_pokemon(4.0),20210818_m_entertainer1(4.0),20210818_superband2(4.0),20210818_kart(4.0),20210818_fantasy_new(4.0),20210818_stream(3.0),20210818_w_entertainer(3.0),20210818_ff14(3.0),20210818_baseball_new10(3.0),20210818_tr(2.0),20210818_maplestory(2.0),20210818_divination(2.0),20210818_mistertrot(2.0),20210818_closers(2.0),20210818_bitcoins(2.0),20210818_akb48(2.0),20210818_loan_new1(2.0),20210818_comic_new2(2.0),20210818_mabi_heroes2(1.0),20210818_car_new1(1.0),20210818_touhou(1.0),20210818_bts(1.0),20210818_typemoon(1.0),20210818_stock_new2(1.0),20210818_smartphone(1.0),20210818_etc_program2(1.0),20210818_ani1_new1(1.0),20210818_winkgall(1.0),20210818_redvelvet(1.0),20210818_fight_game(1.0),20210818_programming(0.0),20210818_sphero(0.0),20210818_cs_new1(0.0),20210818_figureskating_new(0.0),20210818_immovables(0.0),20210818_granblue(0.0),20210818_kancolle(0.0),20210818_producex(0.0),20210818_chicken(0.0),20210818_mystery(0.0),20210818_sdvx(0.0),20210818_gongik_new(0.0),20210818_blackpink(0.0),20210818_idolmaster(0.0)]"
49,686.0,윤진,"[20210818_top12(342.0),20210818_grsgills(304.0),20210818_akb48(29.0),20210818_etc_program2(5.0),20210818_w_entertainer(3.0),20210818_baseball_new10(3.0)]"
50,681.0,쥐,"[20210818_lgtwins_new(202.0),20210818_stream(108.0),20210818_ktwiz(103.0),20210818_samsunglions_new(31.0),20210818_closers(25.0),20210818_baseball_ab2(25.0),20210818_bitcoins(23.0),20210818_giants_new2(26.0),20210818_doosanbears_new1(20.0),20210818_sh_new(18.0),20210818_tigers_new(17.0),20210818_hanwhaeagles_new(15.0),20210818_cat(7.0),20210818_m_entertainer1(6.0),20210818_lotto_new2(5.0),20210818_lostark(4.0),20210818_smartphone(4.0),20210818_ib_new2(4.0),20210818_neostock(4.0),20210818_leagueoflegends4(3.0),20210818_d_fighter_new2(3.0),20210818_elsword(3.0),20210818_monsterhunter(2.0),20210818_granblue(2.0),20210818_maplestory(2.0),20210818_fantasy_new(2.0),20210818_blackpink(2.0),20210818_comic_new2(2.0),20210818_ncdinos(2.0),20210818_baseball_new10(2.0),20210818_immovables(1.0),20210818_mabi_heroes2(1.0),20210818_skwyverns(1.0),20210818_loan_new1(1.0),20210818_mistertrot(1.0),20210818_extra(1.0),20210818_drama_new3(1.0),20210818_etc_program2(1.0),20210818_pokemon(1.0),20210818_w_entertainer(1.0),20210818_jumper(1.0),20210818_lgbt(1.0)]"
51,675.0,이닝,"[20210818_lgtwins_new(227.0),20210818_samsunglions_new(135.0),20210818_giants_new2(71.0),20210818_baseball_ab2(53.0),20210818_ktwiz(38.0),20210818_hanwhaeagles_new(38.0),20210818_tigers_new(40.0),20210818_sh_new(21.0),20210818_doosanbears_new1(13.0),20210818_skwyverns(13.0),20210818_lotto_new2(11.0),20210818_ncdinos(10.0),20210818_game_mabinogi1(2.0),20210818_loan_new1(2.0)]"
52,674.0,병살,"[20210818_lgtwins_new(194.0),20210818_ktwiz(95.0),20210818_sh_new(71.0),20210818_samsunglions_new(89.0),20210818_skwyverns(34.0),20210818_giants_new2(41.0),20210818_baseball_ab2(41.0),20210818_doosanbears_new1(30.0),20210818_lotto_new2(30.0),20210818_ncdinos(20.0),20210818_hanwhaeagles_new(16.0),20210818_tigers_new(12.0),20210818_baseball_new10(2.0)]"
53,670.0,공익,"[20210818_gongik_new(131.0),20210818_stream(335.0),20210818_baseball_ab2(62.0),20210818_maplestory(36.0),20210818_kancolle(28.0),20210818_comic_new2(15.0),20210818_baseball_new10(7.0),20210818_fantasy_new(5.0),20210818_diet(4.0),20210818_fashion_new1(4.0),20210818_lgbt(4.0),20210818_lostark(3.0),20210818_pridepc_new4(3.0),20210818_cs_new1(2.0),20210818_government(2.0),20210818_giants_new2(2.0),20210818_pumpitup(2.0),20210818_divination(2.0),20210818_extra(2.0),20210818_bike(2.0),20210818_leagueoflegends4(2.0),20210818_m_entertainer1(2.0),20210818_w_entertainer(2.0),20210818_hiphop(2.0),20210818_bitcoins(1.0),20210818_sphero(1.0),20210818_immovables(1.0),20210818_doosanbears_new1(1.0),20210818_mabi_heroes2(1.0),20210818_typemoon(1.0),20210818_exam_new2(1.0),20210818_stock_new2(1.0),20210818_sdvx(1.0),20210818_earphone(1.0),20210818_neostock(1.0),20210818_tr(1.0),20210818_depression_new1(1.0),20210818_idolmaster(1.0),20210818_ncdinos(1.0)]"
54,659.0,버퍼,"[20210818_d_fighter_new2(652.0),20210818_elsword(3.0),20210818_lostark(3.0)]"
